filename,video-duration,fps,video-frames
v_5oz8ys_Y1_0.mp4,240.36666666666667,30.0,7211
v_edX_xmX6q0s.mp4,486.0,30.0,14580
v_BNP9sssEkdU.mp4,278.8333333333333,30.0,8365
v_W4uSf0d5yhw.mp4,505.73333333333335,30.0,15172
v_Epl4sPuetO0.mp4,58.766666666666666,30.0,1763
v_8q287rBZAM0.mp4,253.36666666666667,30.0,7601
v_17v08qtr8UM.mp4,127.33333333333333,30.0,3820
v_kdpQK9f-_xU.mp4,204.36666666666667,30.0,6131
v_9y2BKvWMN9Y.mp4,323.1333333333333,30.0,9694
v_l2E5jHfAENY.mp4,340.8666666666667,30.0,10226
v_E-hILeQ9QHM.mp4,618.0333333333333,30.0,18541
v_1HK-p8abRq8.mp4,125.23333333333333,30.0,3757
v_yQzUEWyn6SM.mp4,374.8666666666667,30.0,11246
v_BL8oJSnL4EE.mp4,190.46666666666667,30.0,5714
v_zO7LIiIMVgk.mp4,174.0,30.0,5220
v_7hfaWQgcDyo.mp4,54.0,30.0,1620
v_yF3qIVPhmr4.mp4,210.53333333333333,30.0,6316
v_vHXLk-xtvQw.mp4,231.76666666666668,30.0,6953
v_3r8A4xCZgPQ.mp4,315.5,30.0,9465
v_LV943DshjOc.mp4,356.4,30.0,10692
v_9K3HfJqsY-M.mp4,163.16666666666666,30.0,4895
v_Nxt9F9WjdcU.mp4,329.56666666666666,30.0,9887
v_Ts7K969Xdck.mp4,387.3,30.0,11619
v_Y9eViE3LY6U.mp4,192.73333333333332,30.0,5782
v_1LxRUKMCsrM.mp4,252.5,30.0,7575
v_Rc9kXItj6ic.mp4,176.9,30.0,5307
v_fw_3Bg17UFU.mp4,304.26666666666665,30.0,9128
v__o3eKyNEECU.mp4,126.26666666666667,30.0,3788
v_wKHC2gbRdA0.mp4,397.1,30.0,11913
v_5_mNozo4yqM.mp4,387.8,30.0,11634
v_GnbcTbVhG10.mp4,537.9,30.0,16137
v_I2AbLUtNSMI.mp4,264.3666666666667,30.0,7931
v_91z7e22XGy8.mp4,319.76666666666665,30.0,9593
v_LhrmwGxTLAE.mp4,529.7333333333333,30.0,15892
v_Y4SijHJ02Zg.mp4,414.1666666666667,30.0,12425
v_rT3Esab9zmU.mp4,263.1666666666667,30.0,7895
v_D0STPAXDYxg.mp4,659.0,30.0,19770
v_ELXmRSw3LlA.mp4,240.13333333333333,30.0,7204
v_cxijjHcz70Q.mp4,563.8,30.0,16914
v_DwJpxm7RI3k.mp4,299.3333333333333,30.0,8980
v_VcIF3HOI9wI.mp4,326.73333333333335,30.0,9802
v_EZKU6KK7e-4.mp4,148.0,30.0,4440
v_tGGrOrIqB8U.mp4,129.5,30.0,3885
v_TmbdrTVJ_Mo.mp4,344.6666666666667,30.0,10340
v_hXkepSgN_zo.mp4,231.96666666666667,30.0,6959
v_OJoVVl6PUF0.mp4,439.8666666666667,30.0,13196
v_TvnrmFuz0G8.mp4,553.2666666666667,30.0,16598
v_M8E0XaX0tR0.mp4,566.1333333333333,30.0,16984
v_VtuiYP8GIb8.mp4,240.23333333333332,30.0,7207
v_U10oixMc9_k.mp4,283.8666666666667,30.0,8516
v_9cDDAEsdb7A.mp4,321.1666666666667,30.0,9635
v_uxEhH6MPH28.mp4,247.83333333333334,30.0,7435
v_iX5UqDbD9YE.mp4,183.46666666666667,30.0,5504
v_14w_h9VFtzU.mp4,179.9,30.0,5397
